year,zipcode,agg_count_log,price_log,person_capacity,review_rating_location,review_length_log,crime_words_perc_old,sentiment_neg_avg,lda2,lda3,lda4,lda5,lda_pca1,lda_pca2,d2v_pca1,d2v_pca2,crime_score,crime_score_log,race_index,gini_index,edu_bachelors,age_25_34,square_feet_log,year_2012,year_2013,year_2014,year_2015,year_2016,year_2017,listings_count_log,gentrifying,non_gentrifying,higher_income,crime_score_norm,gentrification_score
2014,10007,4.897839799950911,5.711472827940207,4.143,9.692,3.4822806120031315,0.007369196757553427,0.012601503759398495,0.18971161239717466,0.19628635107686648,0.10340017055098276,0.31400332344289783,0.03289401384471097,4.294237924449712e-05,0.10309025064634483,0.011488507916052486,1490.0,7.307202314764737,0.4679532600857783,0.4992591087939218,0.7827509439736604,0.25518349997699263,6.686110603791662,0,0,1,0,0,0,2.8903717578961645,0,0,1,0.047404215204363345,0.6043672154908867
2015,10007,5.700443573390688,5.631283463839963,4.993,9.773,3.2623466571115256,0.010316875460574795,0.014657718120805371,0.15496599268880767,0.3158908913930841,0.10680658636214647,0.18414053592155846,-0.13570009116157494,-0.017192977927238274,0.1003269969674636,0.09527859195344962,1499.0,7.3132203870903005,0.462165008590091,0.4945273769553751,0.7803166092187165,0.2484653847664595,6.896188642610673,0,0,0,1,0,0,2.995732273553992,0,0,1,0.047707225102686684,0.6026874274495546
2016,10007,5.2832037287379885,5.665879825807727,4.459,9.623,3.068527430990681,0.009579955784819457,0.015096938775510204,0.1425159206632905,0.27658677852370456,0.0877545839175582,0.13673464481585793,-0.20005360932405,0.09192620406551458,0.09285881869760804,0.15943264117302122,1835.0,7.515344571180438,0.454146137664793,0.48957384750247,0.7750216170400381,0.2452040003985167,7.18336451716318,0,0,0,0,1,0,2.7080502011022096,0,0,1,0.05901959464009158,0.599326746527228
2017,10007,5.5053315359323625,5.153574791387974,2.898,9.871,2.94422413331751,0.007369196757553427,0.016110204081632655,0.15606342333933854,0.29876785165798225,0.1687752277643771,0.15594505620967658,-0.13294014370799478,0.005660656575247497,0.049249305615910434,0.0795859066066233,1785.0,7.487733761436442,0.4438438983343076,0.4845978891244158,0.7663845356553795,0.2465699071437121,6.561022623945062,0,0,0,0,0,1,1.791759469228055,0,0,1,0.057336206316072995,0.5992744454546254
2012,10009,8.318010277546872,5.055544922844864,2.822,9.495,3.4456144685865064,0.034635224760501106,0.016909423828125002,0.21006538514930487,0.27964643764222685,0.1401863673096318,0.21815188911470024,-0.05983960745371735,-0.060363914754963735,0.0980239024131884,-0.007863271663099919,10530.0,9.262078567380595,0.5921373931923881,0.5278875458170661,0.580659340173006,0.2475201463326812,6.620222528714577,1,0,0,0,0,0,3.9889840465642745,1,0,0,0.35176082418692345,0.4824337629886884
2013,10009,8.764521909518802,5.0692877764449715,2.9819999999999998,9.55,3.4345564209715245,0.03610906411201178,0.016719931271477664,0.20612849668890704,0.2930794326205796,0.14478457525285193,0.2051656578258553,-0.07453941897930781,-0.06538250102375498,0.08717267609220726,-0.009824352917060995,9868.0,9.197153810172008,0.5913290737080388,0.527466198487673,0.5844953410327435,0.2534191619604825,6.5147615785663975,0,1,0,0,0,0,4.07753744390572,1,0,0,0.3294727627769174,0.48891577299918854
2014,10009,8.962007209588313,5.0799063491088035,2.9130000000000003,9.499,3.4239828192347552,0.03758290346352248,0.01592525641025641,0.2041250728185375,0.2975240285652947,0.13263378307893958,0.2033666966924596,-0.084358577212345,-0.06306190312482422,0.07865477520784663,0.012013991497089054,9648.0,9.174609562020382,0.5904443597537465,0.5275790296727791,0.5873482348024845,0.2581931623443961,6.428849745092354,0,0,1,0,0,0,4.276666119016055,1,0,0,0.3220658541512356,0.49212204258293557
2015,10009,9.390409393716844,5.092012495552123,2.883,9.533999999999999,3.354401552242252,0.04421518054532056,0.015548362846642162,0.19154844885451489,0.3125776254562245,0.12955169824231846,0.19312277743767992,-0.10271685565451448,-0.061664589506935326,0.06847000294023307,0.03412914340456002,9715.0,9.181529290122064,0.5893079490051605,0.5283084475959186,0.5889308851957321,0.26122384689748285,6.437606039135692,0,0,0,1,0,0,4.61512051684126,1,0,0,0.32432159450542053,0.4929667272357105
2016,10009,9.462654300590172,5.096916960467395,3.0180000000000002,9.53,3.2507563234951067,0.04642593957258659,0.015763617996736343,0.1889689268138606,0.3276510667180456,0.12794652549236235,0.17989035538484305,-0.12116523780414686,-0.06697972336933627,0.07648087941036888,0.03734358905333859,9585.0,9.168058979719575,0.5877445391379297,0.5297368603642099,0.5889561556279659,0.26189291529357434,6.595184708088938,0,0,0,0,1,0,4.51085950651685,1,0,0,0.3199447848629722,0.49457932145696964
2017,10009,9.40351943877092,5.153557455107472,3.138,9.606,3.0746912564078426,0.03905674281503317,0.014786974443528444,0.20780121367637305,0.33935304381853826,0.1372151356322917,0.15946366384296098,-0.1360192672230174,-0.08473443472958872,0.08005064768610377,0.0326123737815076,8802.0,9.082847851460906,0.5855788282351568,0.5319466760847718,0.5871369104087353,0.259582067206502,6.617455115652717,0,0,0,0,0,1,4.043051267834549,1,0,0,0.29358292370884115,0.4999007803512022
2012,10011,7.797291273547473,5.225741297354663,2.7739999999999996,9.905,3.448021875842536,0.02358142962417097,0.017949856144677354,0.2037796047317036,0.3378421412076262,0.10822848786713286,0.18428481782412795,-0.12345306934215235,-0.09053893099055282,0.11265536092225795,0.001521093126725816,15147.0,9.625623789021684,0.36443338822573423,0.5815263733966276,0.7731025636941194,0.25069963323883715,6.385093213440193,1,0,0,0,0,0,4.060443010546419,0,0,1,0.5072049020267996,0.5467380560154101
2013,10011,8.265135629937385,5.204297853474954,2.543,9.901,3.4377166966249737,0.025055268975681645,0.015237323037323038,0.2001045629670503,0.32541710465915197,0.10957716382960304,0.2063496886075525,-0.09727272168803476,-0.08978966379457552,0.0964825647676367,-0.008141583425421789,15448.0,9.64529955531205,0.3616930968128145,0.5785369782242924,0.7762130130082369,0.2519323678780347,6.429204829501263,0,1,0,0,0,0,4.330733340286331,0,0,1,0.5173388997373914,0.5455300725120716
2014,10011,8.510168576479273,5.290012980384422,2.616,9.933,3.427480678287352,0.03242446573323508,0.014682111200644644,0.1950175608382536,0.33597880152043996,0.10840666735922434,0.1936628601064471,-0.11495556819845144,-0.08785337246745202,0.08657157136523047,0.012067389149150379,14364.0,9.572549971413393,0.3597494256682694,0.5750095876865089,0.7788410954922437,0.2527912032697349,6.468192393050648,0,0,1,0,0,0,4.543294782270004,0,0,1,0.4808430408726685,0.5532098839815099
2015,10011,8.956737613177264,5.315616863626097,2.8139999999999996,9.925,3.3398757454964763,0.036845983787767135,0.014377239334965843,0.18646027884914868,0.3580681643437483,0.09761846601692148,0.16984224274308796,-0.15269242921643772,-0.0850197223588177,0.08067388518519457,0.038586491664388683,13862.0,9.536978699538377,0.35943371150642633,0.5711626169504598,0.7806814893335106,0.2529449762124568,6.359241633557607,0,0,0,1,0,0,4.709530201312334,0,0,1,0.4639418220995219,0.5562827097780958
2016,10011,9.01517670716893,5.315960801720632,2.892,9.918,3.2379392498492092,0.0397936624907885,0.014243982494529541,0.18625108844655347,0.3713964254380384,0.0964647693605306,0.1607279085829194,-0.16533973396106275,-0.09381332752111532,0.08609913007543205,0.03569595472917997,13949.0,9.543234787249512,0.3615772887133062,0.5672144809504971,0.7814288734644651,0.25206252199597645,6.500502574074432,0,0,0,0,1,0,4.4998096703302615,0,0,1,0.46687091778331424,0.5544515339828637
2017,10011,8.994544758324512,5.3758384360242015,3.1069999999999998,9.93,3.08515294491849,0.03537214443625645,0.014177215189873419,0.20643424594274104,0.3749046328502726,0.10150451727094116,0.14569263154766732,-0.1751012181824368,-0.10508852299130986,0.08664390065364806,0.03726338624444931,13236.0,9.490771217713773,0.36701149167492986,0.5633835947373882,0.7807779260724783,0.2498126779589801,6.396902988193919,0,0,0,0,0,1,4.204692619390967,0,0,1,0.44286580028280925,0.5568193813622215
2012,10012,7.794411205726602,5.344752378570225,3.2089999999999996,9.981,3.4804280405173884,0.029476787030213707,0.017553173948887054,0.2217807510621256,0.3161316136150066,0.10022255489241826,0.18756649125235345,-0.11732643955297545,-0.07757447794834194,0.14137437463802752,0.02123138252225,11401.0,9.341544057591527,0.40279443928739056,0.5256274727871642,0.7764285716414452,0.3095347980409861,6.506673052002822,1,0,0,0,0,0,4.02535169073515,0,0,1,0.38108544879132716,0.5655421908781755
2013,10012,8.225770799348734,5.387870094900348,3.012,9.977,3.431029083069153,0.03021370670596905,0.015507362784471219,0.2162305554739201,0.31776092448543675,0.1047716654151734,0.18544753465076166,-0.11901783782920687,-0.07452874159694191,0.12390805096655688,0.017247724391691747,11338.0,9.33600338997184,0.4052172681549564,0.5225285127526149,0.7842131561040877,0.3081681182235481,6.527501673208017,0,1,0,0,0,0,4.30406509320417,0,0,1,0.3789643795030638,0.5661456278844461
2014,10012,8.476579508530941,5.415344561072911,3.0410000000000004,9.985,3.42300643700048,0.030950626381724394,0.016569999999999998,0.21529083399850565,0.3296061400213466,0.09976323972572232,0.17660616144068966,-0.13330043091088473,-0.07989633077979494,0.11264750235493773,0.037237000725860864,9943.0,9.204724633190548,0.4078015218838118,0.5217164965579286,0.7909231203794479,0.30680981978774075,6.6453328128209606,0,0,1,0,0,0,4.48863636973214,0,0,1,0.33199784526294523,0.575930013915672
