ward,disadvantaged,index_change,t1_index_perc,t1_age_perc,t1_edu_perc,t1_income_perc,t1_house_perc,t2_index_perc,t2_age_perc,t2_edu_perc,t2_income_perc,t2_house_perc,count_listings,count_reviews,price,bedrooms,star_rating,review_rating_location,review_len,location_words_perc,sent_comp,sent_comp_location,lda_1,lda_2,lda_3,lda_4,lda_5,dtv_1,dtv_2,dtv_3,dtv_4,dtv_5,dtv_6,dtv_7,dtv_8,dtv_9,dtv_10,dtv_11,dtv_12,dtv_13,dtv_14,dtv_15,dtv_16,dtv_17,dtv_18,dtv_19,dtv_20,dtv_21,dtv_22,dtv_23,dtv_24,dtv_25
E05000049,False,-9.381663113006404,72.06823027718549,69.9360341151386,76.75906183368869,58.315565031982935,49.36034115138592,62.6865671641791,57.56929637526653,71.21535181236673,56.50319829424307,48.827292110874204,31,657,61.9,1.4333333333333331,95.17241379310344,9.517241379310343,23.446996466431088,0.1883420903778604,0.8703150176678445,0.8938547904191615,0.13265931908890288,0.15628388057077836,0.10005084876885947,0.4730743167020196,0.13179773184579432,-0.004712051342663831,0.1931611589070117,0.18088056781047845,0.08358326455077993,0.0959897049280647,0.005351187754309302,-0.1386625413507694,-0.03683300944225774,-0.16670505938380578,0.09342968456133256,0.10582417224452816,-0.07609001059691271,-0.078390545554448,-0.1369828900731417,-0.023792335024511186,0.08777773501096432,-0.14956512819653106,0.0018939015666058273,-0.0011088889740204254,-0.07504967677360894,0.04192947383793188,0.04216091124439207,-0.02289796427524544,0.016770728991297813,-0.05130575858184582
E05000254,False,17.270788912579953,53.30490405117271,95.73560767590618,39.12579957356077,39.23240938166311,32.62260127931768,70.57569296375266,86.1407249466951,60.127931769722814,35.18123667377398,68.44349680170575,108,2824,93.45192307692308,1.2307692307692308,91.58653846153848,9.548076923076923,23.926269137792104,0.23595905688657565,0.851005439161966,0.8878219239373601,0.12655138540119953,0.22786725720684856,0.16881549497691076,0.33245513685337297,0.1389319215309082,-0.024323324594044158,0.1883700346575196,0.1604305204926132,0.05293103683626499,0.10451734426495993,0.018490064872055092,-0.13481594736485542,-0.05402350145832125,-0.1611446211474325,0.06033629666040913,0.08318316478181463,-0.0986504288857957,-0.08402297762547398,-0.1462483802087828,-0.0111020916960493,0.07822158726688014,-0.16754350302261387,-0.02010731480367316,0.00313467842594252,-0.047309087650962006,0.015450576993337163,0.06187765128227106,-0.024498019824288075,0.03701766812001294,-0.0709912351842514
E05000098,False,14.92537313432836,58.63539445628998,81.4498933901919,70.04264392324093,53.944562899786774,11.833688699360351,73.56076759061834,73.34754797441364,75.26652452025586,62.046908315565034,44.136460554371006,136,2394,114.1353383458647,1.781954887218045,94.42307692307692,9.523076923076925,24.421459642339286,0.2268707373432873,0.8733723537941034,0.9088356583629892,0.12353983195836185,0.1907945522694606,0.1872344460210517,0.36126723648901937,0.1317534876470587,-0.05088695071462867,0.19236601657425328,0.17116110853072902,0.05775701750680615,0.10266195119077492,0.034600063100911384,-0.10237104968193682,-0.037038655651761065,-0.17478619495639916,0.07126694251728613,0.09029214315523508,-0.1105062086049624,-0.08066148488457366,-0.1628482096989358,-0.02873264952277085,0.10402990129641597,-0.16342355959213514,-0.015553719830211041,-0.0033437028887112023,-0.07565595192199542,0.02383630473625192,0.054193805595791525,-0.02605477078396131,0.05055778571292476,-0.0590893299398017
E05000132,False,31.76972281449894,59.06183368869936,92.96375266524521,59.27505330490405,37.63326226012793,29.424307036247342,90.8315565031983,87.84648187633263,63.113006396588496,57.142857142857146,91.25799573560768,47,1015,83.21276595744679,1.425531914893617,92.88888888888887,9.488888888888887,27.738372093023248,0.2089072452611144,0.8845112790697675,0.9283907718120804,0.12036417353313505,0.17430847827128546,0.13752756809685812,0.4188010104888574,0.14290761946224026,-0.02485933468330565,0.19988010791675206,0.17540921833634182,0.07733971532556055,0.10972628417007928,0.04306697756293816,-0.12795825001959985,-0.04144175049982868,-0.17949035363735466,0.0852154808631979,0.09596421927752427,-0.10750707967726644,-0.08885005276111599,-0.16256179306358315,-0.028574169318118608,0.10883388027100728,-0.17115752638214765,-5.684845377271454e-05,-0.0014500135769404275,-0.07308778282654943,0.052641337978055286,0.06919835368076578,-0.01702802141170291,0.018030843367041388,-0.05127147785083358
E05000631,False,26.652452025586356,65.0319829424307,95.94882729211088,73.77398720682302,58.84861407249468,4.904051172707895,91.68443496801706,92.53731343283579,84.64818763326227,69.72281449893391,54.15778251599147,153,2685,127.55629139072849,1.3576158940397351,93.05333333333333,9.82,27.0625814863103,0.2719552170600027,0.8616291612342459,0.9024093243997766,0.08982785973578096,0.22081732781630645,0.2784446813910876,0.252962945717614,0.15236737974666412,-0.05442367388518898,0.1864748715640169,0.1749973778643723,0.02907598290500175,0.10104076284089904,0.036776389898178434,-0.1352393870244887,-0.0389105082517446,-0.16329031085905954,0.05472509001424649,0.07518103799458149,-0.11614775353379647,-0.08978535927231229,-0.15236645455539766,-0.0012357302049092135,0.08069358131153148,-0.18148284018850613,-0.016313410475483747,-0.008197406926587223,-0.051308855218771335,0.011891987227243148,0.07512038410950189,-0.025961358746373227,0.05309857992740368,-0.08627473032025497
E05000142,True,15.991471215351813,23.027718550106613,66.52452025586354,47.76119402985075,13.00639658848614,11.087420042643927,39.01918976545842,63.75266524520256,26.01279317697228,18.763326226012794,69.9360341151386,143,4625,101.29285714285713,1.3785714285714286,91.64963503649635,9.678832116788321,22.563818836850228,0.2660955360206316,0.8360102676273804,0.8662361502347418,0.13227353090462546,0.2836927896069782,0.13661132939207798,0.28492081807006003,0.15755578586175015,-0.037354039975367216,0.1684169573305465,0.1701607625576863,0.048024928428121866,0.10789058937116744,0.02344640988998364,-0.1080171536363892,-0.029174164414201925,-0.14772914622374558,0.07271609124050579,0.07339541563497277,-0.07320519332152835,-0.06911055161518087,-0.15090943860928718,0.0006241344401532413,0.07724674022128156,-0.14587881597623328,-0.0239071886338301,0.025694353534711514,-0.03967054949609872,0.0075125758275656,0.06280681608909447,-0.010378422573676577,0.03885449800781992,-0.08800610607616349
E05000648,True,-13.646055437100207,32.196162046908306,79.95735607675904,54.58422174840085,19.29637526652452,7.462686567164212,18.550106609808108,55.65031982942431,39.01918976545842,0.8528784648187582,30.490405117270782,87,1855,106.2183908045977,1.367816091954023,91.82352941176471,9.576470588235292,25.443216697360345,0.242408398185623,0.8599707796193985,0.896057834290402,0.11669609455781675,0.1969197882114103,0.20561480742380106,0.3216896535236414,0.15313409568948874,-0.037654003853381066,0.18654957295664426,0.16665543975465616,0.03020054661010865,0.11222784097101401,0.02406808825053516,-0.12489608896929046,-0.03996139201953596,-0.14489362310585147,0.06792564076969147,0.07846418205727933,-0.09126706634581826,-0.08378440064687595,-0.14632461944246875,-0.012474979710300094,0.0920556892703402,-0.1661579718269564,-0.0055342283874258895,0.003320671296368686,-0.047500151875776886,0.026189314246854008,0.061176688864198026,-0.029425853622059336,0.03673856007050475,-0.06499949493704514
E05000256,False,-4.904051172707888,51.599147121535175,87.84648187633263,57.569296375266525,26.01279317697228,31.98294243070363,46.695095948827294,68.01705756929637,48.61407249466951,29.21108742004266,51.17270788912579,112,3373,101.625,1.2946428571428572,94.30630630630631,9.765765765765764,24.974653599188915,0.2631332560917929,0.8539930719837784,0.8832567874290702,0.12895182447351236,0.27762617079126256,0.1711613650245818,0.2606976950571354,0.1561599455172043,-0.06066143816714796,0.16834697449610836,0.17635861372920358,0.047648296862114366,0.10604463209965886,0.011458374096915457,-0.13490304170086115,-0.04982475163870861,-0.15565931866103205,0.046987517745596105,0.07667251724484475,-0.09430586211592648,-0.07280982402561495,-0.1513340488244617,0.00012606646280706853,0.06653524801580345,-0.16086616819937205,-0.025487805056806586,0.02333806198817055,-0.0521931740808104,0.007689573576584075,0.07208419179952978,-0.02410907139714551,0.058052116024108376,-0.08210589001759243
E05000052,False,-16.84434968017058,97.44136460554373,37.100213219616215,96.80170575692964,98.72068230277185,92.11087420042644,80.59701492537313,23.240938166311306,97.22814498933901,95.73560767590618,53.51812366737739,31,582,90.8,1.6333333333333333,93.2,9.5,25.926213592233008,0.18625824268604171,0.8712128155339804,0.9220315457413248,0.11849693002595195,0.1230404693054632,0.15729827812321268,0.4621794690549808,0.13351266017020907,-0.02850906513636995,0.20029219305560952,0.18114253372424147,0.06369762712461169,0.12424551950161825,0.022543401631738003,-0.14802383279000653,-0.035119468655755964,-0.16802225877481142,0.07950107784177746,0.09966968129099643,-0.09917322490319104,-0.07853662082303804,-0.14288361017090426,-0.04940263149461334,0.12478788888796224,-0.15455822840387234,-0.016886294571212632,-0.01894817553636916,-0.08279611315720634,0.08357801670284865,0.055720667318396894,-0.011580226183406957,0.014061747504866148,-0.053379373055757295
E05000425,True,35.07462686567165,20.46908315565032,94.02985074626864,16.31130063965884,14.712153518123671,6.929637526652456,55.543710021321964,98.50746268656715,50.31982942430704,24.946695095948826,44.77611940298507,122,2523,77.09401709401709,1.3247863247863247,93.06837606837608,9.410256410256409,23.89093419236079,0.2348179339270223,0.8631757017947538,0.8962466413181241,0.14482686612489334,0.2164895205745226,0.14638043224924702,0.3564161302502967,0.13051256392788854,-0.02775552435187634,0.20060483581397007,0.1562061934702489,0.06598659152175214,0.10448344576734142,0.023898178516954416,-0.10819755190947064,-0.04831733971875327,-0.16722531349990613,0.0851603953968426,0.09951246307324246,-0.08761834411955287,-0.0771020131544299,-0.14969618756714764,-0.01076183544071371,0.0892726217784537,-0.15552221580633366,-0.0114594268231803,0.013268960780431488,-0.05935884492720101,0.02942647403837506,0.05486415037396918,-0.01657419557527091,0.02176661836411984,-0.0576268382241574
E05000429,True,27.931769722814497,15.565031982942429,80.81023454157783,12.260127931769716,14.925373134328353,8.742004264392321,43.49680170575693,90.6183368869936,40.29850746268656,22.601279317697234,36.46055437100213,104,3257,80.42574257425744,1.2970297029702973,94.32,9.33,24.71594746716698,0.22378582894722784,0.8624661163227018,0.8868617303609341,0.15716485589686746,0.2206363446993044,0.11644305280264725,0.3571125643928911,0.14307236176815868,-0.011788779707436798,0.192816204438401,0.16468985128032104,0.05975244048098331,0.09745559844336478,0.023355936035739936,-0.1251462324503024,-0.05271286749653169,-0.15172860474997565,0.07950555486186306,0.11142203737455236,-0.0809437322258256,-0.07662617345908429,-0.1450630256292405,-0.013621994042207748,0.08431661998871434,-0.15120723591567026,-0.007472962278231789,0.01886061861708443,-0.06419176393703778,0.010779749237301371,0.05230571460185631,-0.03307065737063408,0.028652956097858662,-0.06853052453580989
E05000639,False,9.701492537313444,68.5501066098081,83.58208955223881,66.31130063965884,68.86993603411514,26.759061833688705,78.25159914712154,59.91471215351813,72.92110874200426,64.17910447761193,66.73773987206823,67,1544,107.87692307692308,1.4615384615384617,93.4375,9.734375,26.220535068691248,0.22374969866668187,0.8623712942877804,0.9110418125643666,0.101267153189793,0.1628882309667017,0.2642200079168087,0.3108482520733721,0.15518133252770225,-0.04012888657668495,0.17171071781188454,0.1920273768426332,0.012938767590092251,0.112397804775281,0.04117616371233166,-0.14183888030026326,-0.04393610987592245,-0.1311854506908323,0.07304445279059532,0.09264552363915957,-0.11531851882103558,-0.08339748937333244,-0.12589940367338,-0.010451678373609802,0.10868556597344567,-0.1677823598035416,-0.01832972211545332,-0.03457088333701916,-0.04391676729245289,0.04364315254585727,0.0591294080920069,-0.013117027670654384,0.019002252028160242,-0.08357264775972345
E05000135,False,-3.4115138592750607,99.57356076759062,77.18550106609808,97.12153518123668,88.05970149253731,83.47547974413646,96.16204690831556,47.334754797441356,83.7953091684435,95.0959488272921,98.50746268656717,63,1362,149.44444444444446,1.4285714285714286,95.1904761904762,9.968253968253967,26.35169158143195,0.2415694094185568,0.8842159716758459,0.9161493788819876,0.08590731420206166,0.16296462297885084,0.30570056733626205,0.2876602281405232,0.1519370179624831,-0.0714623787200545,0.18735345723078148,0.16378203418397475,0.01907612895076689,0.09127943102603032,0.04160521024340096,-0.11586784345887742,-0.06918027307956814,-0.15333454963112916,0.046654777037374376,0.08594276104509382,-0.12799232225317125,-0.08885634688109659,-0.13289779388634482,-0.015767253459583318,0.13134470459250192,-0.16873399717039902,-0.01792364956566149,-0.02600134224640509,-0.06361535440189367,0.05823962929399544,0.06763069739960571,-0.006459709548858849,0.018428044321551658,-0.0733095989195739
E05000637,False,0.21321961620469665,83.7953091684435,35.18123667377399,78.78464818763327,99.7867803837953,66.63113006396588,84.00852878464819,16.204690831556505,88.91257995735607,99.7867803837953,72.70788912579957,52,1115,298.71153846153845,1.9230769230769231,91.54901960784314,9.862745098039216,26.366336633663373,0.25800081118208984,0.8328836633663367,0.8879379999999999,0.08432062351522912,0.17717381980602104,0.2433605324283316,0.301007288497052,0.18879409123322752,-0.08342633527123812,0.16400976966908618,0.17913574640348665,0.036739715684183966,0.09709863320536484,0.032612501756209736,-0.14751934986395845,-0.034586400529577184,-0.1611499699490781,0.06035614013084036,0.06247641995962275,-0.13418107601188095,-0.07695351982314029,-0.16189893540066996,-0.002933521769764501,0.10587252905467118,-0.18231910860781456,-0.030184353383357117,-0.013171303558214059,-0.051968180701467394,0.032698552091986334,0.08163254166629666,-0.02300918830615136,0.0564422704097884,-0.10180845115196056
E05000044,True,3.1982942430703627,6.823027718550106,36.24733475479744,26.01279317697228,20.04264392324096,6.929637526652456,10.021321961620467,42.857142857142854,17.91044776119405,15.778251599147126,16.417910447761187,8,113,51.125,1.125,94.0,9.375,19.666666666666668,0.2684907773924781,0.7088382352941177,0.7692350649350649,0.2017064989617496,0.27713922045978845,0.0887235852926239,0.25149323279951136,0.1751874159181527,-0.048771206575717464,0.13933908346784754,0.1423892629921765,0.06478842524994237,0.09171354816941198,-0.0009271917709459852,-0.1074469017284904,-0.06773487671835385,-0.13023529062275865,0.05586073088160643,0.08697064718980269,-0.06643959569890856,-0.06437045170277284,-0.15404889925711734,0.0025974254713932447,0.08540689957547276,-0.1281195328863082,-0.02203250753233328,0.029101226619198263,-0.030205652545726693,0.012230338967592435,0.0869311296531426,-0.04222015517941555,0.05523119729203994,-0.061420597761467674
E05000282,True,0.6396588486140722,13.859275053304904,61.62046908315565,20.682302771855007,12.579957356076775,16.63113006396587,14.498933901918974,72.70788912579955,13.43283582089552,5.543710021321942,21.961620469083158,38,685,94.2162162162162,2.3783783783783785,93.5135135135135,8.944444444444445,24.45620437956205,0.18057727647190536,0.8670091240875912,0.8948307917888563,0.12940977273991566,0.2602796314851836,0.0922258132507848,0.3492622933805968,0.16286179479415508,-0.006096719406907579,0.17155973641707453,0.15630139390733833,0.06477137657197236,0.0888549250560765,0.020818075649747258,-0.12604440762744248,-0.03238769610640576,-0.15559531067360793,0.09083630447860136,0.09346491383251032,-0.06745749913274147,-0.047295245470374614,-0.15080318407110538,-0.014566508904511591,0.0755568899518424,-0.16053903244782486,-0.02246761353860437,0.032594928768719215,-0.0572248221393955,0.012648056093150879,0.055506233088111326,-0.050167393943836174,0.02578663198514433,-0.05218500771133202
E05000129,False,35.714285714285715,51.38592750533049,73.98720682302772,66.73773987206823,51.38592750533049,10.660980810234548,87.10021321961621,73.56076759061834,76.54584221748401,72.0682302771855,62.26012793176971,216,5487,181.3333333333333,1.4259259259259258,91.04166666666669,9.93953488372093,24.37800171526587,0.2925243323500041,0.8356007718696399,0.8634326442062277,0.1086080304457204,0.2879832483002178,0.19559784452422915,0.22965207708041835,0.17285048076443654,-0.061167219180374974,0.16487523412024765,0.17551257677502094,0.048885743100783016,0.09530204582032784,0.0199159867806572,-0.13713365834464608,-0.036535806490701206,-0.1627464550495509,0.056918133530595924,0.06341375832813811,-0.09967832016104657,-0.06950548168442944,-0.14961341157309954,0.013761784073162812,0.08295696652887248,-0.16644128268232616,-0.02918257459995485,0.02205342296739136,-0.035147885665972475,-0.008260991883966399,0.08312489821515777,-0.01878567381938385,0.0563476540590828,-0.11447913304810732
E05000266,False,-1.1727078891258031,82.40938166311301,54.797441364605554,88.05970149253731,71.21535181236673,62.26012793176971,81.2366737739872,13.646055437100213,97.6545842217484,83.7953091684435,76.11940298507463,35,710,86.73529411764706,1.9117647058823528,97.03030303030305,9.606060606060606,23.068561872909694,0.1734295045212524,0.8960010033444817,0.9314167138810198,0.11323626825810225,0.12327415548906627,0.1637495812215534,0.4811937247611657,0.11257059045796312,-0.05525148950428017,0.19514233980796625,0.16240578208447287,0.06239942825575714,0.11612253048574787,0.03619511111553849,-0.12696061164598574,-0.03443228935995715,-0.16580664284506275,0.09855582488688676,0.11874469988354495,-0.13183284402349155,-0.09283989158809032,-0.16308660282101053,-0.03907654684757971,0.11891180365097187,-0.1621919570627574,-0.012078697440824954,-0.04229131623239017,-0.1080128450200108,0.06487025379406793,0.023048296973072646,-0.024719867437855408,0.06040206184393373,-0.041677580818454664
E05000426,True,36.034115138592746,31.130063965884858,93.60341151385927,18.550106609808097,24.946695095948826,22.17484008528784,67.16417910447761,97.65458422174841,58.208955223880594,39.658848614072504,46.90831556503198,146,3988,113.33333333333331,1.5972222222222223,93.07142857142857,9.56115107913669,24.132500761498623,0.24815415864434595,0.8555420651842827,0.8891105220883533,0.15506677922857695,0.27827980529835794,0.1144291503766811,0.30261350893014105,0.14400151785817128,-0.026117649537814192,0.17610557220322226,0.16068128997623762,0.06606235153297553,0.1048069786152569,0.028232370918687782,-0.10762742316743096,-0.03871241613176083,-0.15332577784194915,0.07199386093073708,0.08559231463978212,-0.0760227902761544,-0.07016592322945507,-0.13373250072419893,-0.007592488346002919,0.0750069052401688,-0.15466584690422827,-0.01096945963032598,0.03715734997630421,-0.04875768362678426,0.006775816242819629,0.06807515088008625,-0.02932024018904532,0.03867560881153212,-0.08586865604265402
